Exp_ID	Plate_ID	Date	Plate_Row	Plate_Col	Well_No	Well_ID	hours_0	hours_6	hours_12	hours_18	hours_24	hours_30	hours_36	hours_42	hours_48	hours_54	hours_60	hours_66	hours_72	hours_78	hours_84	hours_90	hours_96	hours_102	hours_108	hours_114	hours_120	hours_126	hours_132	hours_138
20201130_AL	20201130_AL_01	2020-11-25T20:00:00Z	L	3	44	L03	1.3905689999999999	2.202693	2.7309869999999998	3.3467310000000001	3.7401909999999998	5.3304640000000001	6.4459070000000001	8.3738860000000006	10.637779999999999	15.109629999999999	18.347529999999999	23.221810000000001	27.327819999999999	32.450710000000001	37.703569999999999	41.79495	45.889530000000001	50.843620000000001	56.092080000000003	59.008569999999999	61.426540000000003	66.526110000000003	68.236310000000003	69.085939999999994
20201130_AL	20201130_AL_01	2020-11-25T20:00:00Z	M	3	45	M03	1.2409509999999999	1.956647	2.2782650000000002	2.7521249999999999	3.3128139999999999	3.93153	5.1069310000000003	6.6128590000000003	8.5148030000000006	12.031599999999999	14.747949999999999	19.23113	23.830490000000001	29.39631	36.65399	43.112389999999998	49.994639999999997	62.492359999999998	71.139979999999994	80.119380000000007	86.593320000000006	91.659199999999998	94.110439999999997	96.693730000000002
20201130_AL	20201130_AL_01	2020-11-25T20:00:00Z	N	3	46	N03	0.68924019999999997	2.707916	3.5179719999999999	4.1749549999999997	5.0326060000000004	6.1858320000000004	7.7324409999999997	9.9446790000000007	12.81879	11.87894	15.54074	22.655740000000002	27.825099999999999	33.633429999999997	42.575180000000003	52.374270000000003	61.816830000000003	72.525499999999994	81.360110000000006	88.561139999999995	92.590350000000001	95.469710000000006	96.751760000000004	97.808760000000007
20201130_AL	20201130_AL_01	2020-11-25T20:00:00Z	O	3	47	O03	1.3304039999999999	2.4326490000000001	3.1968350000000001	3.751795	4.7965749999999998	5.612501	6.8669219999999997	8.6144079999999992	11.208970000000001	12.711309999999999	18.01511	22.942299999999999	29.963059999999999	36.250570000000003	46.108879999999999	56.071820000000002	66.352379999999997	76.011830000000003	84.354969999999994	90.514070000000004	93.552850000000007	96.02543	97.810839999999999	98.63664
20201130_AL	20201130_AL_01	2020-11-25T20:00:00Z	P	3	48	P03	2.5132590000000001	5.7614999999999998	1.5111079999999999	2.0173640000000002	2.5013109999999998	2.943673	4.1179690000000004	5.8889399999999998	6.7449329999999996	12.537229999999999	17.765609999999999	23.236429999999999	31.24353	36.678220000000003	47.521090000000001	57.702150000000003	66.609970000000004	78.316540000000003	86.04589	91.155910000000006	94.978849999999994	97.171809999999994	98.084100000000007	99.283119999999997
20201130_AL	20201130_AL_01	2020-11-25T20:00:00Z	A	4	49	A04	1.32108	1.707905	2.1213929999999999	2.764904	3.3173050000000002	3.6669710000000002	4.4701219999999999	5.5595220000000003	7.0262149999999997	5.5433579999999996	6.921011	8.5948619999999991	10.91699	15.031090000000001	19.029910000000001	24.681450000000002	33.728769999999997	44.64479	56.90634	69.919749999999993	81.003829999999994	90.101389999999995	94.222200000000001	96.792439999999999
20201130_AL	20201130_AL_01	2020-11-25T20:00:00Z	B	4	50	B04	1.7936240000000001	2.1920570000000001	2.6551390000000001	2.5920030000000001	3.3134359999999998	3.7789410000000001	3.7111800000000001	4.0734859999999999	4.600956	5.3346080000000002	6.5269360000000001	8.0865240000000007	10.218209999999999	14.33489	16.806080000000001	22.83	31.37989	41.302219999999998	50.75291	63.052660000000003	72.986239999999995	82.818820000000002	88.212029999999999	92.041049999999998
20201130_AL	20201130_AL_01	2020-11-25T20:00:00Z	C	4	51	C04	1.8265720000000001	1.6586529999999999	2.335181	2.2850320000000002	2.7416909999999999	3.1738309999999998	3.5795210000000002	4.0068270000000004	5.0923600000000002	9.524972	10.32563	10.800800000000001	11.77595	12.112769999999999	11.820209999999999	11.630549999999999	11.24455	11.727869999999999	11.619289999999999	10.63095	10.99657	10.98104	10.818160000000001	10.178979999999999
20201130_AL	20201130_AL_01	2020-11-25T20:00:00Z	D	4	52	D04	1.8184260000000001	2.8317000000000001	3.390314	4.2097009999999999	5.023695	6.0523160000000003	6.1689819999999997	7.6733880000000001	8.4323230000000002	6.9376579999999999	7.8075999999999999	8.4956669999999992	9.0483390000000004	10.6449	11.298220000000001	10.803089999999999	10.332739999999999	11.27384	11.625299999999999	12.212859999999999	11.9628	11.27155	12.05744	12.26066
20201130_AL	20201130_AL_01	2020-11-25T20:00:00Z	E	4	53	E04	0.42979060000000002	2.5182319999999998	2.8739020000000002	3.3986770000000002	3.9216530000000001	4.6260240000000001	5.1782899999999996	6.4119869999999999	7.6341469999999996	10.124890000000001	11.48714	12.37152	13.76244	14.65809	15.987259999999999	17.20271	17.225660000000001	17.816400000000002	16.957319999999999	18.064319999999999	17.738219999999998	17.281759999999998	17.67164	16.87312
