Plate_ID,Plate_Row,Plate_Col,Well_No,Well_ID,% Positive W2 (MultiWaveScoring),Cell: W2 Nucleus Average Intensity (MultiWaveScoring),Total Cells (MultiWaveScoring)
20201215_JM_01,M,17,269,M17,1.16408,958.245014,1804
20201215_JM_01,N,17,270,N17,28.62216,1486.696465,1408
20201215_JM_01,O,17,271,O17,1.567398,983.383134,1276
20201215_JM_01,P,17,272,P17,0,687.262809,1779
20201215_JM_01,A,18,273,A18,6.153846,711.050802,520
20201215_JM_01,B,18,274,B18,66.521103,1084.080055,687
20201215_JM_01,C,18,275,C18,14.705882,724.951412,238
20201215_JM_01,D,18,276,D18,23.588709,840.632185,496
20201215_JM_01,E,18,277,E18,18.289085,764.424914,339
20201215_JM_01,F,18,278,F18,9.501187,732.926566,842
20201215_JM_01,G,18,279,G18,10.571428,718.522491,350
20201215_JM_01,H,18,280,H18,13.293052,739.772069,331
20201215_JM_01,I,18,281,I18,13.513514,723.331305,296
20201215_JM_01,J,18,282,J18,5.579399,717.814308,932
20201215_JM_01,K,18,283,K18,9.478673,746.445779,211
20201215_JM_01,L,18,284,L18,5.753425,691.710216,365
20201215_JM_01,M,18,285,M18,13.586957,718.27235,368
20201215_JM_01,N,18,286,N18,74.585632,1350.329773,362
20201215_JM_01,O,18,287,O18,4.986876,715.876476,762
20201215_JM_01,P,18,288,P18,0,539.368804,797
20201215_JM_01,A,19,289,A19,5.792163,689.968794,587
20201215_JM_01,B,19,290,B19,61.435726,1099.388714,599
20201215_JM_01,C,19,291,C19,4.129264,755.004803,1671
20201215_JM_01,D,19,292,D19,12.201591,749.396402,377
20201215_JM_01,E,19,293,E19,15.182186,792.299067,494
20201215_JM_01,F,19,294,F19,8.005618,722.67799,712
20201215_JM_01,G,19,295,G19,11.279826,716.81113,461
20201215_JM_01,H,19,296,H19,17.48634,761.937022,366
20201215_JM_01,I,19,297,I19,4.522613,648.618413,398
20201215_JM_01,J,19,298,J19,3.75,675.768514,720
20201215_JM_01,K,19,299,K19,7.770961,783.488702,489
20201215_JM_01,L,19,300,L19,6.688963,671.41274,598
20201215_JM_01,M,19,301,M19,5.815832,686.691776,619
20201215_JM_01,N,19,302,N19,58.895706,1177.248118,163
20201215_JM_01,O,19,303,O19,5.275779,701.092859,834
20201215_JM_01,P,19,304,P19,0,548.480449,712
20201215_JM_01,A,20,305,A20,12.720157,824.172602,511
20201215_JM_01,B,20,306,B20,68.793343,1129.950531,721
20201215_JM_01,C,20,307,C20,19.135803,774.430287,648
20201215_JM_01,D,20,308,D20,21.09375,822.485697,512
20201215_JM_01,E,20,309,E20,20.32967,808.109819,728
20201215_JM_01,F,20,310,F20,8.779443,742.769576,934
20201215_JM_01,G,20,311,G20,18.568665,758.496276,517
20201215_JM_01,H,20,312,H20,25.423729,822.728884,472
20201215_JM_01,I,20,313,I20,8.490566,715.972106,530
20201215_JM_01,J,20,314,J20,10.930576,734.614976,677
20201215_JM_01,K,20,315,K20,13.656387,916.672149,454
20201215_JM_01,L,20,316,L20,17.245989,755.91298,748
