Cell ID	Plate ID	Well Y	Well X	MEASUREMENT SET ID	Total Cells (MultiWaveScoring)	% Positive W2 (MultiWaveScoring)	% Positive W3 (MultiWaveScoring)	Scan_ID	Well_ID
10296_90593_90593_0	10296	5	22	20177	1356	7.6696169999999899	98.893805999999898	10296	E22
10296_90592_90592_0	10296	6	22	20177	4358	12.138596	98.049560999999898	10296	F22
10296_90591_90591_0	10296	7	22	20177	4120	4.2961159999999898	90.728156999999896	10296	G22
10296_90590_90590_0	10296	8	22	20177	4797	4.0233480000000004	91.869918999999896	10296	H22
10296_90589_90589_0	10296	9	22	20177	4861	67.290679999999895	99.300551999999897	10296	I22
10296_90588_90588_0	10296	10	22	20177	5810	40.481926000000001	98.003440999999896	10296	J22
10296_90587_90587_0	10296	11	22	20177	5655	20.56587	97.435897999999895	10296	K22
10296_90586_90586_0	10296	12	22	20177	6164	13.497728	96.560676999999899	10296	L22
10296_90585_90585_0	10296	13	22	20177	5052	8.7292170000000002	94.398253999999895	10296	M22
10296_90584_90584_0	10296	14	22	20177	5531	11.806183000000001	96.872176999999894	10296	N22
10298_90716_90716_0	10298	3	13	20181	767	98.956978000000007	99.348106000000001	10298	C13
10298_90717_90717_0	10298	4	13	20181	918	97.821349999999896	98.801743000000002	10298	D13
10298_90718_90718_0	10298	5	13	20181	2703	98.298186999999899	89.789124000000001	10298	E13
10298_90719_90719_0	10298	6	13	20181	3965	44.640605999999899	86.456496999999899	10298	F13
10298_90720_90720_0	10298	7	13	20181	3975	28.226416	79.823898	10298	G13
10298_90721_90721_0	10298	8	13	20181	3676	37.5952109999999	84.466812000000004	10298	H13
10298_90722_90722_0	10298	9	13	20181	1414	32.390380999999898	88.118813000000003	10298	I13
10298_90723_90723_0	10298	10	13	20181	1167	54.155956000000003	96.229652000000002	10298	J13
10298_90724_90724_0	10298	11	13	20181	1163	78.933791999999897	99.140152	10298	K13
10298_90725_90725_0	10298	12	13	20181	3305	54.4024199999999	93.494704999999897	10298	L13
10298_90726_90726_0	10298	13	13	20181	3603	39.800167000000002	92.728279000000001	10298	M13
10298_90727_90727_0	10298	14	13	20181	3608	68.625275000000002	96.812636999999896	10298	N13
10298_90739_90739_0	10298	3	14	20181	768	98.697913999999898	99.21875	10298	C14
10298_90738_90738_0	10298	4	14	20181	1036	98.648651000000001	99.903473000000005	10298	D14
10298_90737_90737_0	10298	5	14	20181	2818	98.793471999999895	91.625266999999894	10298	E14
10298_90736_90736_0	10298	6	14	20181	3773	39.623641999999897	85.952820000000003	10298	F14
10298_90735_90735_0	10298	7	14	20181	4016	38.994022000000001	84.088645999999898	10298	G14
10298_90734_90734_0	10298	8	14	20181	3908	39.611052999999899	87.563972000000007	10298	H14
10298_90733_90733_0	10298	9	14	20181	1600	37.1875	89.3125	10298	I14
10298_90732_90732_0	10298	10	14	20181	1454	53.094909999999899	95.529572000000002	10298	J14
10298_90731_90731_0	10298	11	14	20181	1250	64	98.239998	10298	K14
10298_90730_90730_0	10298	12	14	20181	3301	55.3468629999999	93.668587000000002	10298	L14
10298_90729_90729_0	10298	13	14	20181	3905	37.823303000000003	92.471191000000005	10298	M14
10298_90728_90728_0	10298	14	14	20181	3704	59.152267000000002	94.006477000000004	10298	N14
10298_90740_90740_0	10298	3	15	20181	1303	22.179586	79.815810999999897	10298	C15
10298_90741_90741_0	10298	4	15	20181	1805	3.8227150000000001	100	10298	D15
10298_90742_90742_0	10298	5	15	20181	2262	9.5048630000000003	61.096375000000002	10298	E15
10298_90743_90743_0	10298	6	15	20181	2599	21.969988000000001	68.257019	10298	F15
10298_90744_90744_0	10298	7	15	20181	2947	31.727180000000001	75.704109000000003	10298	G15
10298_90745_90745_0	10298	8	15	20181	4135	40.507857999999899	88.609427999999895	10298	H15
10298_90746_90746_0	10298	9	15	20181	315	65.079369	100	10298	I15
10298_90747_90747_0	10298	10	15	20181	188	74.468086	100	10298	J15
10298_90748_90748_0	10298	11	15	20181	286	73.426575	100	10298	K15
10298_90749_90749_0	10298	12	15	20181	2485	80.241446999999894	99.557343000000003	10298	L15
10298_90750_90750_0	10298	13	15	20181	3779	37.734851999999897	93.940192999999894	10298	M15
10298_90751_90751_0	10298	14	15	20181	3812	41.421824999999899	91.290665000000004	10298	N15
10298_90763_90763_0	10298	3	16	20181	1336	20.059878999999899	77.245506000000006	10298	C16
10298_90762_90762_0	10298	4	16	20181	1712	8.2359810000000007	100	10298	D16
10298_90761_90761_0	10298	5	16	20181	2115	12.293144	63.262413000000002	10298	E16
10298_90760_90760_0	10298	6	16	20181	2668	24.475262000000001	70.952026000000004	10298	F16
10298_90759_90759_0	10298	7	16	20181	2189	18.775696	56.875286000000003	10298	G16
10298_90758_90758_0	10298	8	16	20181	4049	41.343539999999898	88.565078999999898	10298	H16
10298_90757_90757_0	10298	9	16	20181	152	84.210526000000002	100	10298	I16
10298_90756_90756_0	10298	10	16	20181	316	68.670883000000003	100	10298	J16
10298_90755_90755_0	10298	11	16	20181	178	80.898880000000005	100	10298	K16
10298_90754_90754_0	10298	12	16	20181	2804	80.206847999999894	99.714691000000002	10298	L16
10298_90753_90753_0	10298	13	16	20181	3638	39.967013999999899	91.643760999999898	10298	M16
10298_90752_90752_0	10298	14	16	20181	3745	44.325767999999897	94.098800999999895	10298	N16
10298_90764_90764_0	10298	3	17	20181	2737	63.646327999999897	79.028130000000004	10298	C17
10298_90765_90765_0	10298	4	17	20181	2783	52.066116000000001	67.948256999999899	10298	D17
10298_90766_90766_0	10298	5	17	20181	3178	6.4820640000000003	100	10298	E17
10298_90767_90767_0	10298	6	17	20181	3176	75.220405999999898	83.658691000000005	10298	F17
10298_90768_90768_0	10298	7	17	20181	4037	52.935349000000002	89.373299000000003	10298	G17
10298_90769_90769_0	10298	8	17	20181	3441	43.998837000000002	93.693695000000005	10298	H17
10298_90770_90770_0	10298	9	17	20181	1786	92.217247	99.048148999999896	10298	I17
10298_90771_90771_0	10298	10	17	20181	3676	52.040260000000004	90.614799000000005	10298	J17
10298_90772_90772_0	10298	11	17	20181	3742	50.881881999999898	96.525925000000001	10298	K17
10298_90773_90773_0	10298	12	17	20181	3868	47.776629999999898	95.630814000000001	10298	L17
10298_90774_90774_0	10298	13	17	20181	4144	55.308880000000002	96.042473000000001	10298	M17
10298_90775_90775_0	10298	14	17	20181	3798	54.660347000000002	94.997367999999895	10298	N17
10298_90787_90787_0	10298	3	18	20181	2972	70.659485000000004	83.243606999999898	10298	C18
10298_90786_90786_0	10298	4	18	20181	2998	53.869247000000001	68.378922000000003	10298	D18
10298_90785_90785_0	10298	5	18	20181	3009	5.9155860000000002	100	10298	E18
10298_90784_90784_0	10298	6	18	20181	3260	65.184051999999895	82.883437999999899	10298	F18
10298_90783_90783_0	10298	7	18	20181	3919	47.103850999999899	90.788466999999898	10298	G18
10298_90782_90782_0	10298	8	18	20181	3872	47.081612	93.827477000000002	10298	H18
10298_90781_90781_0	10298	9	18	20181	2008	92.081672999999896	98.655379999999894	10298	I18
10298_90780_90780_0	10298	10	18	20181	3627	46.677695999999898	88.888885000000002	10298	J18
10298_90779_90779_0	10298	11	18	20181	3860	53.419688999999899	97.979270999999898	10298	K18
10298_90778_90778_0	10298	12	18	20181	3863	47.657260999999899	95.676933000000005	10298	L18
10298_90777_90777_0	10298	13	18	20181	3465	44.011543000000003	92.842712000000006	10298	M18
10298_90776_90776_0	10298	14	18	20181	3210	41.651088999999899	90.249222000000003	10298	N18
10298_90788_90788_0	10298	3	19	20181	1559	44.836433	99.550995	10298	C19
10298_90789_90789_0	10298	4	19	20181	1549	46.675274000000002	99.548096000000001	10298	D19
10298_90790_90790_0	10298	5	19	20181	1660	36.144576999999899	99.698791999999898	10298	E19
10298_90791_90791_0	10298	6	19	20181	2202	30.199818	96.639420000000001	10298	F19
10298_90792_90792_0	10298	7	19	20181	3310	30.120846	88.519638	10298	G19
10298_90793_90793_0	10298	8	19	20181	3708	41.936356000000004	90.830635000000001	10298	H19
