Exp_ID	Plate_ID	Date	Plate_Row	Plate_Col	Well_No	Well_ID	Calculated.results..Calc.1..Crosstalk...Crosstalk.correction.where.Label...Glo.US.LUM.384..cps..1..channel.1	Results.for.Glo.US.LUM.384..cps..1....channel.0..CPS.	NA.
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	F	6	86	F06	640	640	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	G	6	87	G06	680	680	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	H	6	88	H06	480	480	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	I	6	89	I06	360	360	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	J	6	90	J06	1160	1160	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	K	6	91	K06	640	640	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	L	6	92	L06	480	480	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	M	6	93	M06	520	520	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	N	6	94	N06	600	600	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	O	6	95	O06	520	520	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	P	6	96	P06	640	640	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	A	7	97	A07	880	880	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	B	7	98	B07	720	720	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	C	7	99	C07	360	360	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	D	7	100	D07	400	400	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	E	7	101	E07	400	400	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	F	7	102	F07	480	480	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	G	7	103	G07	360	360	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	H	7	104	H07	560	560	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	I	7	105	I07	520	520	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	J	7	106	J07	720	720	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	K	7	107	K07	400	400	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	L	7	108	L07	360	360	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	M	7	109	M07	560	560	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	N	7	110	N07	480	480	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	O	7	111	O07	440	440	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	P	7	112	P07	880	880	-
