Plate ID	Well Name	MEASUREMENT SET ID	Cell: W2 Nucleus Average Intensity (MultiWaveScoring)	Cell: W2 Cytoplasm Average Intensity (MultiWaveScoring)	Cell: W2 Cell Average Intensity (MultiWaveScoring)	% Positive W2 (MultiWaveScoring)	Cell: W3 Nucleus Average Intensity (MultiWaveScoring)	Cell: W3 Cytoplasm Average Intensity (MultiWaveScoring)	Cell: W3 Cell Average Intensity (MultiWaveScoring)	% Positive W3 (MultiWaveScoring)	Total Cells (MultiWaveScoring)	Cell.line	Timepoint
10368	K20	20277	8072.384373	7455.049009	7637.62318	100	8072.384373	7455.049009	7637.62318	99.88105	2522	A375	Day01
10368	K21	20277	8825.462716	7317.64469	7858.754993	100	8825.462716	7317.64469	7858.754993	99.363869	1572	A375	Day01
10368	K22	20277	9349.582317	7919.147768	8446.367128	100	9349.582317	7919.147768	8446.367128	99.759758	1665	A375	Day01
10368	L13	20277	611.8955534	49.40554124	613.6099805	0.683945	611.8955534	49.40554124	613.6099805	7.20E-02	2778	A375	Day01
10368	L14	20277	518.2724973	1.065704271	518.3835402	9.80E-02	518.2724973	1.065704271	518.3835402	0	2041	A375	Day01
10368	L15	20277	678.1295485	8.417291494	664.8099397	0.226244	678.1295485	8.417291494	664.8099397	0.113122	1768	A375	Day01
10368	L16	20277	463.3268486	8.50581046	464.0520123	0.362465	463.3268486	8.50581046	464.0520123	4.03E-02	2483	A375	Day01
10368	L17	20277	646.3022638	35.83787515	647.4616945	0.470333	646.3022638	35.83787515	647.4616945	7.24E-02	2764	A375	Day01
10368	L18	20277	6930.983774	6352.836834	6531.54875	100	6930.983774	6352.836834	6531.54875	98.996384	2491	A375	Day01
10368	L19	20277	5624.530213	6170.419446	5926.71631	100	5624.530213	6170.419446	5926.71631	99.336823	2865	A375	Day01
10368	L20	20277	5663.609707	5492.378497	5521.560663	100	5663.609707	5492.378497	5521.560663	98.143761	2532	A375	Day01
10368	L21	20277	5873.130257	5184.24205	5435.300857	100	5873.130257	5184.24205	5435.300857	95.477158	2211	A375	Day01
10368	L22	20277	6377.416509	5807.686426	5982.881932	100	6377.416509	5807.686426	5982.881932	99.125	2400	A375	Day01
10368	M13	20277	527.4269973	2.88102329	526.928538	0.118203	527.4269973	2.88102329	526.928538	7.88E-02	2538	A375	Day01
