,,,,Experiment_ID,,Date,,,Plate_ID,,Drug_ID,,Drug_conc,,Drug_unit,,Drug_control,,,,,,
None,None,None,Chronic_IFNg_1ng_ml,Chronic_IFNg_1ng_ml,Chronic_IFNg_1ng_ml,Chronic_IFNg_1ng_ml,Chronic_IFNg_1ng_ml,Chronic_IFNg_1ng_ml,Chronic_IFNg_1ng_ml,Chronic_IFNg_1ng_ml,Chronic_IFNg_1ng_ml,Chronic_IFNg_1ng_ml,Chronic_IFNg_1ng_ml,Chronic_IFNg_1ng_ml,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
,variable,factor,,,,,,,,,,,,,,,,,,,,,
,treatment,ID,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
None,None,None,hIFNgamma,hIFNgamma,hIFNgamma,hIFNgamma,hIFNgamma,hIFNgamma,hIFNgamma,hIFNgamma,hIFNgamma,hIFNgamma,hIFNgamma,hIFNgamma,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
None,None,None,hIFNgamma,hIFNgamma,hIFNgamma,hIFNgamma,hIFNgamma,hIFNgamma,hIFNgamma,hIFNgamma,hIFNgamma,hIFNgamma,hIFNgamma,hIFNgamma,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
None,None,None,hIFNgamma,hIFNgamma,hIFNgamma,hIFNgamma,hIFNgamma,hIFNgamma,hIFNgamma,hIFNgamma,hIFNgamma,hIFNgamma,hIFNgamma,hIFNgamma,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
None,None,None,hIFNgamma,hIFNgamma,hIFNgamma,hIFNgamma,hIFNgamma,hIFNgamma,hIFNgamma,hIFNgamma,hIFNgamma,hIFNgamma,hIFNgamma,hIFNgamma,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
None,None,None,hIFNgamma,hIFNgamma,hIFNgamma,hIFNgamma,hIFNgamma,hIFNgamma,hIFNgamma,hIFNgamma,hIFNgamma,hIFNgamma,hIFNgamma,hIFNgamma,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
None,None,None,hIFNgamma,hIFNgamma,hIFNgamma,hIFNgamma,hIFNgamma,hIFNgamma,hIFNgamma,hIFNgamma,hIFNgamma,hIFNgamma,hIFNgamma,hIFNgamma,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
None,None,None,hIFNgamma,hIFNgamma,hIFNgamma,hIFNgamma,hIFNgamma,hIFNgamma,hIFNgamma,hIFNgamma,hIFNgamma,hIFNgamma,hIFNgamma,hIFNgamma,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
None,None,None,hIFNgamma,hIFNgamma,hIFNgamma,hIFNgamma,hIFNgamma,hIFNgamma,hIFNgamma,hIFNgamma,hIFNgamma,hIFNgamma,hIFNgamma,hIFNgamma,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
,variable,numeric,,,,,,,,,,,,,,,,,,,,,
,treatment,Dose,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
-1,-1,-1,0,0,0,1,1,1,0,0,0,1,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
-1,-1,-1,0,0,0,1,1,1,0,0,0,1,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
-1,-1,-1,0,0,0,1,1,1,0,0,0,1,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
-1,-1,-1,0,0,0,1,1,1,0,0,0,1,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
-1,-1,-1,0,0,0,1,1,1,0,0,0,1,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
-1,-1,-1,0,0,0,1,1,1,0,0,0,1,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
-1,-1,-1,0,0,0,1,1,1,0,0,0,1,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
-1,-1,-1,0,0,0,1,1,1,0,0,0,1,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
